Distribution_Size,Fitness,Fitness_Error,Cost,Cost_Error,Service_Rate,Service_Rate_Error,Avg_Time_s
C_N10,21390.51,±44.32,390.51,±44.32,1.0000,±0.0000,2.083610105514526
C_N100,1204903.07,±90577.75,3603.07,±298.62,0.5860,±0.0441,13.252839374542237
C_N150,2416325.35,±90722.66,5525.35,±383.55,0.5227,±0.0196,19.900897550582886
C_N20,78996.34,±3925.27,976.34,±159.72,0.9400,±0.0490,3.5003676414489746
C_N50,368943.48,±23908.22,1993.48,±215.84,0.7160,±0.0463,6.115317296981812
RC_N10,20809.63,±1059.90,649.63,±58.41,0.9600,±0.0490,1.905397891998291
RC_N100,1213703.39,±76932.59,4203.39,±492.50,0.5900,±0.0374,13.320781898498534
RC_N150,2299379.51,±76909.93,5429.51,±531.64,0.4973,±0.0167,20.278712844848634
RC_N20,79221.65,±6068.49,1201.65,±152.37,0.9400,±0.0735,3.327042055130005
RC_N50,354706.54,±21061.67,2106.54,±199.42,0.6880,±0.0412,5.982225704193115
R_N10,20115.61,±1559.56,795.61,±45.28,0.9200,±0.0748,2.293742322921753
R_N100,1131862.56,±83256.36,4362.56,±252.11,0.5500,±0.0405,12.87045660018921
R_N150,2435179.46,±97230.31,5929.46,±261.95,0.5267,±0.0211,19.763563537597655
R_N20,75379.52,±5478.15,1509.52,±77.55,0.8900,±0.0663,3.029056262969971
R_N50,315871.94,±35910.42,2221.94,±94.50,0.6120,±0.0700,5.911896133422852
