Distribution_Size,Fitness,Fitness_Error,Cost,Cost_Error,Service_Rate,Service_Rate_Error,Avg_Time_s
C_N10,8570.79,±2296.51,170.79,±11.80,0.4000,±0.1095,0.59
C_N100,588550.30,±63204.61,2250.30,±251.80,0.2860,±0.0307,3.82
C_N150,1251809.55,±86006.84,3359.55,±179.39,0.2707,±0.0187,5.53
C_N20,21819.01,±4881.11,239.01,±81.70,0.2600,±0.0583,0.85
C_N50,179687.06,±15309.14,1337.06,±56.06,0.3480,±0.0299,2.33
RC_N10,10323.83,±4548.03,243.83,±67.96,0.4800,±0.2135,0.63
RC_N100,547731.66,±91541.90,2431.66,±309.44,0.2660,±0.0445,3.94
RC_N150,1239494.04,±62828.61,3344.04,±201.82,0.2680,±0.0136,5.49
RC_N20,24325.68,±3171.99,255.68,±76.80,0.2900,±0.0374,0.86
RC_N50,167319.44,±24614.66,1269.44,±37.74,0.3240,±0.0480,2.28
R_N10,6571.78,±1903.95,271.78,±42.01,0.3000,±0.0894,0.63
R_N100,527302.57,±58948.43,2502.57,±180.09,0.2560,±0.0287,3.73
R_N150,1153593.54,±63258.85,3543.54,±372.14,0.2493,±0.0137,5.31
R_N20,16927.45,±5936.62,327.45,±73.04,0.2000,±0.0707,0.83
R_N50,146888.45,±15128.80,1338.45,±96.58,0.2840,±0.0294,2.29
