Configuration,Service_Rate,Cost,Objective,Runtime
N50_C,0.8753364666463178,1476.627455879352,447133.3117003585,7.006981325149536
N50_RC,0.878355043763393,2023.566233327554,448133.3936954114,6.383438396453857
N50_R,0.8234097569953128,2269.0376011971966,419728.4628589006,5.811808156967163
N50,0.8590337558016746,1923.0770968013676,438331.72275155684,6.400742626190186

N100_C,0.8027232129188971,3119.2156290337443,1642463.3708547053,47.51322312355042
N100_RC,0.8174899778263348,4017.5135682253167,1671836.940975761,48.611865162849426
N100_R,0.8062936758364243,4200.0,1648702.0354646698,42.80966138839722
N100,0.8088356221938854,3778.909732419687,1654334.1157650454,46.31158322493235

N150_C,0.7926807653478399,3308.3876380817965,3652931.64252883,152.6049208879471
N150_RC,0.8223066885311154,6437.163272791542,3786452.4375769785,157.16455404758455
N150_R,0.7759140854281468,7166.820735695772,3571736.898301631,136.30684940814973
N150,0.7969671797690342,5637.457215523037,3670373.6594691463,148.69210811456045

