Configuration,Service_Rate,Cost,Objective,Runtime
N50_C,0.9476459498971361,2236.053028204886,483432.49629407737,0.0
N50_RC,0.9155632002643583,1821.7254636794678,467404.4146718042,0.0
N50_R,0.8794236429998031,2243.6092133670463,448461.00782403204,0.0
N50,0.9142109310537658,2100.4625684171333,466432.63959663786,0.0

N100_C,0.8907263351544061,4310.412590380525,1821678.574476152,0.0
N100_RC,0.8653516935007921,5349.692054061219,1768621.2796225627,0.0
N100_R,0.8651335946190657,4651.65793084586,1768872.2110382388,0.0
N100,0.8737372077580879,4770.587525095868,1786390.6883789848,0.0

N150_C,0.8507273673232926,5211.952887895051,3918768.028890792,0.0
N150_RC,0.8522156519652335,5429.121238071006,3925415.573451569,0.0
N150_R,0.8412731333007788,8293.718162283301,3872078.6091875588,0.0
N150,0.8480720508631018,6311.5974294164525,3905420.73717664,0.0

Overall,0.8786733965583184,4394.215840976485,2052748.0217174208,0.0
