Configuration,Service_Rate,Cost,Objective,Runtime
N50_C,0.95235810,2165.22,485918,0.00
N50_RC,0.91832558,1776.10,468866,0.00
N50_R,0.88777318,2232.05,452752,0.00
N50,0.91948562,2057.79,469179,0.00

N100_C,0.89188974,4274.14,1824100,0.00
N100_RC,0.87054027,5027.95,1779580,0.00
N100_R,0.86690949,4584.02,1772580,0.00
N100,0.87644650,4628.70,1792087,0.00

N150_C,0.85897593,5028.98,3956998,0.00
N150_RC,0.85464155,5414.80,3936619,0.00
N150_R,0.84479228,7772.09,3888832,0.00
N150,0.85280325,6071.96,3927483,0.00

Overall,0.88291179,4252.82,2062916,0.00
