Configuration,Service_Rate,Cost,Objective,Runtime
N50_C,0.95235810,2165.22,485918,7.006981325149536
N50_RC,0.91855484,2446.20,468313,6.383438396453857
N50_R,0.88788535,3058.78,451982,5.811808156967163
N50,0.91959943,2556.74,468738,6.400742626190186

N100_C,0.89188974,4274.14,1824100,47.51322312355042
N100_RC,0.87054027,5027.95,1779580,48.611865162849426
N100_R,0.86690949,4584.02,1772580,42.80966138839722
N100,0.87644650,4628.70,1792087,46.31158322493235

N150_C,0.85897593,5028.98,3956998,152.6049208879471
N150_RC,0.85464155,5414.80,3936619,157.16455404758455
N150_R,0.84479228,7772.09,3888832,136.30684940814973
N150,0.85280325,6071.96,3927483,148.69210811456045

