Configuration,Service_Rate,Cost,Objective,Runtime
N50_C,0.9487435152335777,2249.420775425271,483981.6307817833,0.0
N50_RC,0.9120015919531529,1824.5900937584229,465576.2257822324,0.0
N50_R,0.8806899418870354,2279.5229725122335,449074.0722445934,0.0
N50,0.9138116830245887,2117.8446138986424,466210.642936203,0.0

N100_C,0.8883926692302824,4264.281197324395,1816940.6907247545,0.0
N100_RC,0.8688425954963258,5018.65201268997,1776108.6687547779,0.0
N100_R,0.8660216077253866,4604.4073679405265,1770739.888469102,0.0
N100,0.8744189574839982,4629.113525984964,1787929.7493162116,0.0

N150_C,0.8524160068992381,5021.132323058788,3926747.699499677,0.0
N150_RC,0.8527814869851528,5541.315642591566,3927913.293076426,0.0
N150_R,0.8446109923643014,7957.131170320325,3887811.07111002,0.0
N150,0.8499361620828974,6173.193045323559,3914157.354562041,0.0

Overall,0.8793889341971615,4306.717061735722,2056099.2489381519,0.0
