Configuration,Service_Rate,Cost,Objective,Runtime
N50_C,0.9353488499346562,2068.52294145443,477297.76265005686,7.006981325149536
N50_RC,0.8356433185161821,1855.695880391053,426411.5048591523,6.383438396453857
N50_R,0.8390911046959073,2710.59722545126,427323.59393120126,5.811808156967163
N50,0.8700277577155818,2211.6053490989143,443677.6204801368,6.400742626190186

N100_C,0.8685219244210064,3106.664398833178,1777363.28066423,47.51322312355042
N100_RC,0.8041938070395224,3592.479761536699,1645004.824669484,48.611865162849426
N100_R,0.7931321430259084,5394.911635440076,1620525.9815676722,42.80966138839722
N100,0.821949291495479,4031.351931936651,1680964.6956337953,46.31158322493235

N150_C,0.8295035143621187,3187.822109398432,3822897.137885874,152.6049208879471
N150_RC,0.795841157334424,5227.896020160522,3665589.44218487,157.16455404758455
N150_R,0.8118679391467073,7801.383042295929,3736939.4862718913,136.30684940814973
N150,0.8124042036144167,5405.7003906182945,3741808.688780878,148.69210811456045

